occupation	occupationLabelSv	occupationLabelEn	occupationLabelDe
http://www.wikidata.org/entity/Q378422	goodwillambassadör för UNESCO	UNESCO Goodwill Ambassador	Liste von UN-Sonderbotschaftern
http://www.wikidata.org/entity/Q373021	flygbesättning	aircrew	Luftfahrtpersonal
http://www.wikidata.org/entity/Q651566	hygieniker	hygienist	Hygienefachkraft
http://www.wikidata.org/entity/Q638172	gårdfarihandlande	peddler	Hausierer
http://www.wikidata.org/entity/Q644687	illustratör	illustrator	Illustrator
http://www.wikidata.org/entity/Q477406	regent	regent	Regentschaft
http://www.wikidata.org/entity/Q476246	seglare	sailor	Segler
http://www.wikidata.org/entity/Q820998	okularist	ocularist	Okularist
http://www.wikidata.org/entity/Q627325	grafisk formgivare	graphic designer	Grafikdesigner
http://www.wikidata.org/entity/Q683754	ritare	drafter	Technischer Zeichner
http://www.wikidata.org/entity/Q685433	försäljare	sales representative	Verkäufer
http://www.wikidata.org/entity/Q819677	bergsguide	mountain guide	Bergführer
http://www.wikidata.org/entity/Q820037	gruvarbetare	miner	Bergmann
http://www.wikidata.org/entity/Q820043	bergmästare	Bergmeister	Bergmeister
http://www.wikidata.org/entity/Q635067	programdirektör	program director	Programmdirektor
http://www.wikidata.org/entity/Q635734	arkivarie	archivist	Archivar
http://www.wikidata.org/entity/Q631193	arbetsterapeut	occupational therapist	Ergotherapeut
http://www.wikidata.org/entity/Q207651	bödel	executioner	Scharfrichter
http://www.wikidata.org/entity/Q206783	civilanställd	civilian employee of the military	Zivilbeschäftigter
http://www.wikidata.org/entity/Q233053	cykelmekaniker	bicycle mechanic	Zweiradmechaniker
http://www.wikidata.org/entity/Q814356	callgirl	call girl	Callgirl
http://www.wikidata.org/entity/Q816432	projektledare	project manager	Projektmanager
http://www.wikidata.org/entity/Q219184	dealer	croupier	Croupier
http://www.wikidata.org/entity/Q805253	balettmästare	ballet master	Ballettmeister
http://www.wikidata.org/entity/Q805221	balettdansare	ballet dancer	Balletttänzer
http://www.wikidata.org/entity/Q228422	konduktör	conductor	Schaffner
http://www.wikidata.org/entity/Q226008	japansk idol	Japanese idol	japanisches Idol
http://www.wikidata.org/entity/Q230763	tillskärare	patternmaker	Zuschneider
http://www.wikidata.org/entity/Q388338	kassör	treasurer	Schatzmeister
http://www.wikidata.org/entity/Q216541	chaufför	chauffeur	Chauffeur
http://www.wikidata.org/entity/Q217029	qadi	qadi	Kadi
http://www.wikidata.org/entity/Q838566	smed	metalsmith	Metallschmied
http://www.wikidata.org/entity/Q489933	tandsköterska	dental assistant	Zahnmedizinischer Fachangestellter
