occupation	occupationLabelSv	occupationLabelEn
http://www.wikidata.org/entity/Q970153	barnskådespelare	child actor
http://www.wikidata.org/entity/Q937857	fotbollsspelare	association football player
http://www.wikidata.org/entity/Q936969	barnflicka	nanny
http://www.wikidata.org/entity/Q2205972	glasmålare	stained-glass artist
http://www.wikidata.org/entity/Q2182752	basketdomare	basketball official
http://www.wikidata.org/entity/Q2216340	silversmed	silversmith
http://www.wikidata.org/entity/Q123030	andrepilot	first officer
http://www.wikidata.org/entity/Q113109	modeskräddare	fashion tailor
http://www.wikidata.org/entity/Q10798782	TV-skådespelare	television actor
http://www.wikidata.org/entity/Q133485	rabbin	rabbi
http://www.wikidata.org/entity/Q2217284	dockskapare	puppet designer
http://www.wikidata.org/entity/Q935666	sminkör	make-up artist
http://www.wikidata.org/entity/Q931732	posek	Posek
http://www.wikidata.org/entity/Q4582125	receptarie	prescriptionist
http://www.wikidata.org/entity/Q4531850	endokrinolog	endocrinologist
http://www.wikidata.org/entity/Q4529715	hettitolog	Hittitologist
http://www.wikidata.org/entity/Q10674561	specialpedagog	special pedagogue
http://www.wikidata.org/entity/Q10672931	socialpsykolog	social psychologist
http://www.wikidata.org/entity/Q10669499	sjöofficer	naval officer
http://www.wikidata.org/entity/Q4508280	Chekist	chekist
http://www.wikidata.org/entity/Q4461829	traktorförare	tractorist
http://www.wikidata.org/entity/Q4459623	toxikolog	toxicologist
http://www.wikidata.org/entity/Q4439155	långdistanslöpare	long-distance runner
http://www.wikidata.org/entity/Q10842936	rallyförare	race car driver
http://www.wikidata.org/entity/Q10841764	formel 1-förare	Formula One driver
http://www.wikidata.org/entity/Q1048210	generaldirektör	general director
http://www.wikidata.org/entity/Q1051798	revisor	statutory auditor
http://www.wikidata.org/entity/Q1051088	basebollkommissionär	Commissioner of Baseball
http://www.wikidata.org/entity/Q1049637	MC-bud	motorcycle courier
http://www.wikidata.org/entity/Q2152241	remsnidare	Lorimer
http://www.wikidata.org/entity/Q2145981	restauratör	restorer
http://www.wikidata.org/entity/Q152002	pastor	pastor
http://www.wikidata.org/entity/Q144662	spelaragent	sports agent
http://www.wikidata.org/entity/Q128124	ljudingenjör	audio engineer
http://www.wikidata.org/entity/Q131062	stadsplanerare	urban planner
http://www.wikidata.org/entity/Q107198	barberare	barber
http://www.wikidata.org/entity/Q4621445	vigilant	vigilante
http://www.wikidata.org/entity/Q152355	skomakare	cobbler
http://www.wikidata.org/entity/Q4610556	modell	model
http://www.wikidata.org/entity/Q976015	korgflätare	basket weaver
http://www.wikidata.org/entity/Q978044	högre chef	executive
http://www.wikidata.org/entity/Q977459	flaggman	flag officer
http://www.wikidata.org/entity/Q994779	delegat	delegate
http://www.wikidata.org/entity/Q989678	Fedayeen	fedayeen
http://www.wikidata.org/entity/Q984276	hovmålare	court painter
http://www.wikidata.org/entity/Q974144	pedagog	educator
http://www.wikidata.org/entity/Q10712100	Valackare	castrator
http://www.wikidata.org/entity/Q10774753	performancekonstnär	performance artist
http://www.wikidata.org/entity/Q10726370	regionåklagare	state's attorney
http://www.wikidata.org/entity/Q998550	bokhandlare	bookseller
http://www.wikidata.org/entity/Q160117	mäklare	broker
http://www.wikidata.org/entity/Q158950	underofficer	non-commissioned officer
