person	personLabelSv	cityOfBirth	occupationLabelsSv	occupationLabelsEn	sitelinks	occupationLabelsDe	occupationLabelsEs
http://www.wikidata.org/entity/Q6237835	Hjalmar Westerlund	http://www.wikidata.org/entity/Q823785	arkitekt	architect	3	Architekt	arquitecto
http://www.wikidata.org/entity/Q62118083	Leopold Israelsson	http://www.wikidata.org/entity/Q983893	brottare	amateur wrestler	3	Ringer	luchador
http://www.wikidata.org/entity/Q64683762	Ivan Lindgren	http://www.wikidata.org/entity/Q983893	längdskidåkare	cross-country skier	3	Skilangläufer	esquiador de fondo
http://www.wikidata.org/entity/Q3501286	Nils Ambolt	http://www.wikidata.org/entity/Q2167	lantmätare, upptäcktsresande	land surveyor, explorer	3	Landvermesser, Forschungsreisender	agrimensor, explorador
http://www.wikidata.org/entity/Q15287207	Hedwig Bienkowski-Andersson	http://www.wikidata.org/entity/Q776830	författare, poet, essäist	writer, poet, essayist	3	Dichter, Schriftsteller, Essayist	poeta, escritor, ensayista
http://www.wikidata.org/entity/Q5896801	Peter Kadhammar	http://www.wikidata.org/entity/Q368574	journalist, författare	journalist, writer	3	Schriftsteller, Journalist	escritor, periodista
http://www.wikidata.org/entity/Q3397800	Pontus Carle	http://www.wikidata.org/entity/Q2167	målare, gravör	painter, engraver	3	Graveur, Maler	grabador, pintor
http://www.wikidata.org/entity/Q6042992	Ivar Persson	http://www.wikidata.org/entity/Q369863	politiker, agronom	politician, agronomist	3	Agronom, Politiker	agrónomo, político
http://www.wikidata.org/entity/Q5786701	Christer Hammargren	http://www.wikidata.org/entity/Q339905	motocrossförare	motocross rider	3	Motocrossfahrer	piloto de motocross
http://www.wikidata.org/entity/Q5745102	Niclas Frisk	http://www.wikidata.org/entity/Q848393	sångare, låtskrivare	singer, songwriter	3	Sänger, Songschreiber	cantante, compositor de canciones
http://www.wikidata.org/entity/Q3946660	Samuel af Ugglas	http://www.wikidata.org/entity/Q1001183	ämbetsman, politiker	ämbetsman, politician	3	Politiker	político
http://www.wikidata.org/entity/Q41752495	Nils Backstrom	http://www.wikidata.org/entity/Q848393	längdskidåkare	cross-country skier	3	Skilangläufer	esquiador de fondo
http://www.wikidata.org/entity/Q5767446	Anders Grahn	http://www.wikidata.org/entity/Q2211	musikproducent, låtskrivare, musiker	record producer, songwriter, musician	3	Musikproduzent, Songschreiber, Musiker	productor discográfico, compositor de canciones, músico
http://www.wikidata.org/entity/Q3482193	Gotti Sigurdarson	http://www.wikidata.org/entity/Q2167	skådespelare	actor	3	Schauspieler	actor
http://www.wikidata.org/entity/Q4962399	Hildur Lindberg	http://www.wikidata.org/entity/Q1001183	skådespelare	actor	3	Schauspieler	actor
http://www.wikidata.org/entity/Q5723729	Bengt Falck	http://www.wikidata.org/entity/Q2211	neuroforskare	neuroscientist	3	Neurowissenschaftler	neurocientífico
http://www.wikidata.org/entity/Q20669359	Ebbe Borg	http://www.wikidata.org/entity/Q297922	arkitekt	architect	3	Architekt	arquitecto
http://www.wikidata.org/entity/Q5923368	Stefan Kristiansson	http://www.wikidata.org/entity/Q2211	militär	military personnel	3	Militär	militar
http://www.wikidata.org/entity/Q5605974	Anders Fredrik Centerwall	http://www.wikidata.org/entity/Q2211	militär, kommunalpolitiker	military personnel, local politician	3	Militär, Kommunalpolitiker	militar, político municipal
http://www.wikidata.org/entity/Q6218813	Gustaf Uggla	http://www.wikidata.org/entity/Q368574	militär	military personnel	3	Militär	militar
http://www.wikidata.org/entity/Q16594489	Siv Cedering	http://www.wikidata.org/entity/Q307541	konstnär, poet, översättare	artist, poet, translator	3	Dichter, Übersetzer, Künstler	poeta, traductor, artista
http://www.wikidata.org/entity/Q5603378	Roine Carlsson	http://www.wikidata.org/entity/Q496201	politiker	politician	3	Politiker	político
http://www.wikidata.org/entity/Q1353811	Erik Aurelius den yngre	http://www.wikidata.org/entity/Q2167	universitetslärare, teolog	university teacher, theologian	3	Theologe, Hochschullehrer	teólogo, profesor universitario
http://www.wikidata.org/entity/Q6188043	Stig Stefanson	http://www.wikidata.org/entity/Q848393	politiker	politician	3	Politiker	político
http://www.wikidata.org/entity/Q5821186	Gösta Hökmark	http://www.wikidata.org/entity/Q2211	militär	military personnel	3	Militär	militar
http://www.wikidata.org/entity/Q18020265	Fredrik Croneborg	http://www.wikidata.org/entity/Q771863	triathlet	triathlete	3	Triathlet	triatleta
http://www.wikidata.org/entity/Q5818687	Dan Hylander	http://www.wikidata.org/entity/Q2211	låtskrivare, skivartist	songwriter, recording artist	3	Songschreiber, Aufnahmekünstler	compositor de canciones, artista discográfico
